Performance da campanha
1 de janeiro de 2026 - 8 de setembro de 2026
Campanha,Estado da campanha,Tipo de campanha,ID da campanha,Dia,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Resultados,Ligações telefônicas,CPM méd. visível,CTR visível,Visitas à loja (baseada em dados),Impr. visíveis,Parcela de cliques,Cliques orgânicos,Listagens orgânicas
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-04,63,1.184,"5,32%",BRL,"0,37","23,18","10,00",0,"2,32","15,87%","Contato: 6,00; Outro: 4,00; Engajamento: 20,00; Visualização de página: 3,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-20,63,1.495,"4,21%",BRL,"0,64","40,04","14,00",0,"2,86","20,59%","Contato: 9,00; Outro: 5,00; Engajamento: 45,00; Visualização de página: 4,00",3,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-07-27,63,1.546,"4,08%",BRL,"0,66","41,64","13,00",0,"3,20","20,63%","Contato: 7,00; Outro: 6,00; Engajamento: 55,00; Ver rotas: 1,00; Visualização de página: 7,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-10,62,905,"6,85%",BRL,"0,40","24,67","28,01",0,"0,88","45,18%","Contato: 8,00; Outro: 16,01; Engajamento: 7,00; Ver rotas: 11,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-03,62,916,"6,77%",BRL,"0,41","25,32","15,00",0,"1,69","24,20%","Contato: 8,00; Outro: 7,00; Engajamento: 5,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-03,62,1.176,"5,27%",BRL,"0,41","25,70","13,99",0,"1,84","22,56%","Contato: 7,00; Outro: 6,99; Engajamento: 29,00; Visualização de página: 3,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-04-27,62,1.392,"4,45%",BRL,"0,79","49,25","18,00",0,"2,74","29,03%","Contato: 10,00; Outro: 8,00; Engajamento: 59,00; Ver rotas: 3,00; Visualização de página: 5,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-25,61,1.248,"4,89%",BRL,"0,41","25,25","10,50",0,"2,41","17,21%","Contato: 5,00; Outro: 5,50; Engajamento: 76,00; Ver rotas: 3,00; Visualização de página: 1,00; Visita à loja: 2,00",0,0,0,"2,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-05-26,61,1.223,"4,99%",BRL,"0,67","40,99","7,00",0,"5,86","11,48%","Contato: 5,00; Outro: 1,00; Engajamento: 35,00; Ver rotas: 1,00; Visualização de página: 2,00; Lead telefônico: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-06-08,60,1.502,"3,99%",BRL,"0,63","37,67","15,02",0,"2,51","25,03%","Contato: 6,00; Outro: 9,02; Engajamento: 35,00; Ver rotas: 2,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
