Performance da campanha
1 de janeiro de 2026 - 25 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-17,12,178,"6,74%","0,90","10,84","1,00",0,"10,84","8,33%",2,"Contato: 1,00; Engajamento: 22,00; Ver rotas: 1,00; Visualização de página: 1,00","25,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-03-01,12,159,"7,55%","0,12","1,48","0,00",0,0,"0,00%",0,"Engajamento: 2,00","2,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-04-22,12,172,"6,98%","0,29","3,51","1,00",0,"3,51","8,33%",0,"Contato: 1,00; Engajamento: 17,00; Visualização de página: 2,00","20,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-05-08,12,287,"4,18%","0,55","6,63","5,00",0,"1,33","41,67%",2,"Contato: 5,00; Engajamento: 28,00; Ver rotas: 4,00","37,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-05-09,12,251,"4,78%","0,35","4,20","0,00",0,0,"0,00%",0,"Engajamento: 29,00; Visualização de página: 1,00","30,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-21,11,236,"4,66%","0,24","2,61","0,00",0,0,"0,00%",0,"Engajamento: 18,00; Visualização de página: 2,00","20,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-03-05,11,135,"8,15%","0,73","7,98","0,00",0,0,"0,00%",0,"Contato: 1,00; Outro: 1,00; Engajamento: 23,00; Visita à loja: 1,00","26,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-03-07,11,262,"4,20%","0,41","4,56","1,00",0,"4,56","9,09%",2,"Engajamento: 14,00; Lead telefônico: 1,00; Visita à loja: 1,00","16,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-04-25,11,246,"4,47%","0,26","2,82","4,00",0,"0,71","36,36%",1,"Contato: 4,00; Engajamento: 28,00; Ver rotas: 1,00","33,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-04-30,11,425,"2,59%","0,56","6,13","0,00",0,0,"0,00%",0,"Engajamento: 8,00","8,00","0,00"
